rank,company,growth,revenue_range,employee_growth,year_founded,industry,city,state,profile_url
106,Akiak Technology,3250%,Locked,Locked,Locked,Government Services,Alexandria,VA,https://www.inc.com/profile/akiak-technology
107,Rad AI,3229%,Locked,Locked,Locked,Artificial Intelligence & Data,San Francisco,CA,https://www.inc.com/profile/rad-ai
108,Let Sparks Fly,3215%,Locked,Locked,Locked,Travel & Hospitality,Desoto,TX,https://www.inc.com/profile/let-sparks-fly
109,wildwonder,3212%,Locked,Locked,Locked,Food & Beverage,San Francisco,CA,https://www.inc.com/profile/rosa-li
110,UptimeHealth,3201%,Locked,Locked,Locked,Software,Boston,MA,https://www.inc.com/profile/uptimehealth
111,2 Kings 4,3166%,Locked,Locked,Locked,"Advertising, Marketing & PR",Tampa,FL,https://www.inc.com/profile/2-kings-4
112,DCM Insights,3137%,Locked,Locked,Locked,Business Products & Services,Silver Spring,MD,https://www.inc.com/profile/dcm-insights
114,TreeLine Vacation Rentals,3130%,Locked,Locked,Locked,Real Estate,Broken Bow,OH,https://www.inc.com/profile/treeline-vacation-rentals
115,BoomPop,3073%,Locked,Locked,Locked,Software,San Francisco,CA,https://www.inc.com/profile/boompop
116,J29,3064%,Locked,Locked,Locked,Government Services,Millersville,MD,https://www.inc.com/profile/j29
117,Seraphina Therapeutics,3059%,Locked,Locked,Locked,Consumer Products,San Diego,CA,https://www.inc.com/profile/seraphina-therapeutics
118,Bravenly Global,3009%,Locked,Locked,Locked,Consumer Products,Seminole,FL,https://www.inc.com/profile/bravenly-global
119,Redpanda,2997%,Locked,Locked,Locked,Software,San Francisco,CA,https://www.inc.com/profile/redpanda
121,Horizon3.ai,2962%,Locked,Locked,Locked,Security,San Francisco,CA,https://www.inc.com/profile/horizon3ai
122,Teal Communications,2961%,Locked,Locked,Locked,Software,Bellevue,WA,https://www.inc.com/profile/teal-communications
123,Tiger Tracks,2942%,Locked,Locked,Locked,"Advertising, Marketing & PR",NEW YORK,NY,https://www.inc.com/profile/tiger-tracks
124,TalentCompass,2936%,Locked,Locked,Locked,Human Resources,Santa Monica,CA,https://www.inc.com/profile/talentcompass
125,Veterans Holdings,2858%,Locked,Locked,Locked,Manufacturing,Gloversville,NY,https://www.inc.com/profile/veterans-holdings
126,Vannevar Labs,2848%,Locked,Locked,Locked,Security,Palo Alto,CA,https://www.inc.com/profile/vannevar-labs
127,Raw Nutrition,2837%,Locked,Locked,Locked,Consumer Products,Port St. Lucie,FL,https://www.inc.com/profile/raw-sport-supplement-company
128,Diverse,2806%,Locked,Locked,Locked,"Advertising, Marketing & PR",Largo,FL,https://www.inc.com/profile/diverse
129,Limitless MFG,2803%,Locked,Locked,Locked,Manufacturing,Encino,CA,https://www.inc.com/profile/limitless-mfg
130,Aries Solutions,2783%,Locked,Locked,Locked,IT Services,Westerville,OH,https://www.inc.com/profile/aries-solutions
131,Hear Your Story,2778%,Locked,Locked,Locked,Consumer Products,ELK GROVE,CA,https://www.inc.com/profile/hear-your-story
134,Saylor,2757%,Locked,Locked,Locked,"Advertising, Marketing & PR",Los Angeles,CA,https://www.inc.com/profile/saylor
135,Closinglock,2751%,Locked,Locked,Locked,Software,Austin,TX,https://www.inc.com/profile/closinglock
136,Daniel House Club,2735%,Locked,Locked,Locked,Retail,Portland,OR,https://www.inc.com/profile/danielhouse-studios
138,Roundtable Strategy Advisors,2730%,Locked,Locked,Locked,Business Products & Services,Boston,MA,https://www.inc.com/profile/roundtable-strategy-advisors
139,Renovating KC Design + Remodel,2728%,Locked,Locked,Locked,Construction,Lenexa,KS,https://www.inc.com/profile/renovating-kc-design--remodel
140,Ambia Energy,2724%,Locked,Locked,Locked,Energy,Lindon,UT,https://www.inc.com/profile/ambia-energy
142,Groves & Company,2701%,Locked,Locked,Locked,Business Products & Services,Austin,TX,https://www.inc.com/profile/groves--company
143,Valerian Technology,2699%,Locked,Locked,Locked,IT Services,Menifee,CA,https://www.inc.com/profile/valerian-technology
144,The DPS,2671%,Locked,Locked,Locked,Manufacturing,Irvine,CA,https://www.inc.com/profile/the-dps
146,Authors On Mission,2650%,Locked,Locked,Locked,"Advertising, Marketing & PR",New York,NY,https://www.inc.com/profile/Authors-On-Mission
148,poppi,2638%,Locked,Locked,Locked,Food & Beverage,Austin,TX,https://www.inc.com/profile/allison-ellsworth
149,TopDog Law,2628%,Locked,Locked,Locked,Legal,Scottsdale,AZ,https://www.inc.com/profile/topdog-law
150,ZEDEDA,2610%,Locked,Locked,Locked,Software,San Jose,CA,https://www.inc.com/profile/zededa
152,Vacation,2557%,Locked,Locked,Locked,Consumer Products,Miami,FL,https://www.inc.com/profile/vacation
153,Copyleaks,2542%,Locked,Locked,Locked,Software,New York City,NY,https://www.inc.com/profile/copyleaks
154,Drata,2513%,Locked,Locked,Locked,Security,San Diego,CA,https://www.inc.com/profile/drata
155,Fortified International,2513%,Locked,Locked,Locked,Security,Portland,OR,https://www.inc.com/profile/fortified-international
157,Fundraiser Blankets,2481%,Locked,Locked,Locked,Education,armada,MI,https://www.inc.com/profile/fundraiser-blankets
159,Zach Taylor Real Estate,2457%,Locked,Locked,Locked,Real Estate,Murfreesboro,TN,https://www.inc.com/profile/zach-taylor-real-estate
160,Anova Digital,2442%,Locked,Locked,Locked,"Advertising, Marketing & PR",Richardson,TX,https://www.inc.com/profile/anova-digital
161,Grape Law,2441%,Locked,Locked,Locked,Legal,New York,NY,https://www.inc.com/profile/grape-law-firm
162,Black Canyon Consulting,2439%,Locked,Locked,Locked,IT Services,Fairfax,VA,https://www.inc.com/profile/black-canyon-consulting
163,Ziplines Education,2439%,Locked,Locked,Locked,Education,San Carlos,CA,https://www.inc.com/profile/ziplines-education
164,AiFA LABS,2402%,Locked,Locked,Locked,Artificial Intelligence & Data,frisco,TX,https://www.inc.com/profile/aifa-labs
166,Anaptyss,2358%,Locked,Locked,Locked,IT Services,Atlanta,GA,https://www.inc.com/profile/anaptyss
167,Rocket.net,2320%,Locked,Locked,Locked,Software,Jupiter,FL,https://www.inc.com/profile/rocketnet
168,Global Outpost,2310%,Locked,Locked,Locked,Manufacturing,Palm Beach Gardens,FL,https://www.inc.com/profile/global-outpost
169,SOCRadar,2301%,Locked,Locked,Locked,IT Services,Newark,DE,https://www.inc.com/profile/socradar
170,Trivium Group,2293%,Locked,Locked,Locked,"Advertising, Marketing & PR",Miami,FL,https://www.inc.com/profile/trivium-group
171,King Construction and Builders,2267%,Locked,Locked,Locked,Construction,Grand Prairie,TX,https://www.inc.com/profile/king-construction-and-builders
173,BetterComp,2255%,Locked,Locked,Locked,Software,San Francisco,CA,https://www.inc.com/profile/bettercomp
174,Pearly,2250%,Locked,Locked,Locked,Software,Santa Barbara,CA,https://www.inc.com/profile/pearly
175,Simple Mining,2249%,Locked,Locked,Locked,Tech Hardware,Cedar Falls,IA,https://www.inc.com/profile/simple-mining
176,FARE,2230%,Locked,Locked,Locked,Food & Beverage,Chicago,IL,https://www.inc.com/profile/fare-holdings
178,Touchland,2200%,Locked,Locked,Locked,Consumer Products,Miami,FL,https://www.inc.com/profile/touchland
180,BelliWelli,2177%,Locked,Locked,Locked,Food & Beverage,West Hollywood,CA,https://www.inc.com/profile/belliwelli
181,Taktile,2164%,Locked,Locked,Locked,Software,New York,NY,https://www.inc.com/profile/taktile
182,WarrCloud,2159%,Locked,Locked,Locked,Business Products & Services,St. Louis,MO,https://www.inc.com/profile/warrcloud
183,Tax Lien Code,2153%,Locked,Locked,Locked,Education,Overland Park,KS,https://www.inc.com/profile/tax-lien-code
185,Terrestris,2121%,Locked,Locked,Locked,Government Services,Occoquan,VA,https://www.inc.com/profile/terrestris
188,Hawke Media,2091%,Locked,Locked,Locked,"Advertising, Marketing & PR",Santa Monica,CA,https://www.inc.com/profile/hawke-media
189,Trullion,2076%,Locked,Locked,Locked,Artificial Intelligence & Data,New York,NY,https://www.inc.com/profile/trullion
190,Begin Health,2056%,Locked,Locked,Locked,Consumer Products,San Francisco,CA,https://www.inc.com/profile/begin-health
191,Exact Partners,2049%,Locked,Locked,Locked,Business Products & Services,Williamsville,NY,https://www.inc.com/profile/exact-partners
192,ScalableOS,2030%,Locked,Locked,Locked,Human Resources,Issaquah,WA,https://www.inc.com/profile/scalableos
193,WVE Media,2027%,Locked,Locked,Locked,"Advertising, Marketing & PR",Los Angeles,CA,https://www.inc.com/profile/wve-media
194,Bitfreighter,2010%,Locked,Locked,Locked,IT Services,Nashville,TN,https://www.inc.com/profile/bitfreighter
195,Juno Advisory,2007%,Locked,Locked,Locked,Business Products & Services,Atlanta,GA,https://www.inc.com/profile/juno-advisory
196,Northway Homes,1989%,Locked,Locked,Locked,Real Estate,Charlotte,NC,https://www.inc.com/profile/northway-homes
197,Birck Engineering,1967%,Locked,Locked,Locked,Engineering,Littleton,CO,https://www.inc.com/profile/birck-engineering
198,Opal Energy Group,1961%,Locked,Locked,Locked,Energy,Somerville,NJ,https://www.inc.com/profile/opal-energy-group
199,Trail Grid Pro,1942%,Locked,Locked,Locked,Retail,Frederick,MD,https://www.inc.com/profile/trail-grid-pro
200,Akadian Accounting Education,1940%,Locked,Locked,Locked,Education,Salt Lake City,UT,https://www.inc.com/profile/akadian-accounting-education
201,TheBestReputation,1934%,Locked,Locked,Locked,"Advertising, Marketing & PR",Williamsburg,VA,https://www.inc.com/profile/thebestreputation
202,EPC,1932%,Locked,Locked,Locked,Construction,West Monroe,LA,https://www.inc.com/profile/epc
203,Moon Express,1912%,Locked,Locked,Locked,Logistics & Transportation,Charlotte,NC,https://www.inc.com/profile/moon-express
204,Kajae,1886%,Locked,Locked,Locked,Human Resources,Lehi,UT,https://www.inc.com/profile/kajae
205,Drivergent Transportation,1867%,Locked,Locked,Locked,Logistics & Transportation,Fraser,MI,https://www.inc.com/profile/drivergent-transportation
207,Ragab Law Firm,1860%,Locked,Locked,Locked,Legal,Denver,CO,https://www.inc.com/profile/ragab-law-firm
208,Logic Pursuits,1845%,Locked,Locked,Locked,Artificial Intelligence & Data,Warrenville,IL,https://www.inc.com/profile/logic-pursuits
209,Veterans Electrical Solutions,1835%,Locked,Locked,Locked,Engineering,Peachtree Corners,GA,https://www.inc.com/profile/veterans-electrical-solutions
210,Buhotec Miami,1829%,Locked,Locked,Locked,Business Products & Services,Miami,FL,https://www.inc.com/profile/buhotec-miami
211,Kingbee Rentals,1828%,Locked,Locked,Locked,Logistics & Transportation,West Valley City,UT,https://www.inc.com/profile/kingbee-rentals
212,Calibyr Corporation,1825%,Locked,Locked,Locked,Government Services,Clarksville,MD,https://www.inc.com/profile/calibyr
213,Sleepyhead,1789%,Locked,Locked,Locked,Retail,Scottsdale,AZ,https://www.inc.com/profile/sleepyhead
214,Access XP,1784%,Locked,Locked,Locked,Travel & Hospitality,San Diego,CA,https://www.inc.com/profile/access-destination-services
215,Kinetic Concepts,1777%,Locked,Locked,Locked,Government Services,Pensacola,FL,https://www.inc.com/profile/kinetic-concepts
216,Getpro Industrial,1771%,Locked,Locked,Locked,Business Products & Services,Prairieville,LA,https://www.inc.com/profile/getpro-industrial
217,Houston TX Hot Chicken,1765%,Locked,Locked,Locked,Food & Beverage,Las Vegas,NV,https://www.inc.com/profile/houston-tx-hot-chicken
218,Clovehitch,1764%,Locked,Locked,Locked,Government Services,Granville,OH,https://www.inc.com/profile/clovehitch
219,DIBS Beauty,1759%,Locked,Locked,Locked,Consumer Products,Austin,TX,https://www.inc.com/profile/dibs-beauty
222,Groups360,1744%,Locked,Locked,Locked,Software,Brentwood,TN,https://www.inc.com/profile/groups360
223,Inspiration Travel,1721%,Locked,Locked,Locked,Travel & Hospitality,Fresno,CA,https://www.inc.com/profile/inspiration-cruises--tours
224,Logo Print & Promo,1705%,Locked,Locked,Locked,Business Products & Services,Winter Park,FL,https://www.inc.com/profile/logogram
225,Lorvish Technologies,1699%,Locked,Locked,Locked,IT Services,Durham,NC,https://www.inc.com/profile/lorvish-technologies
228,Laoban Foods,1677%,Locked,Locked,Locked,Food & Beverage,Washington,DC,https://www.inc.com/profile/laoban-foods
229,Jeff's Bagel Run,1664%,Locked,Locked,Locked,Food & Beverage,Orlando,FL,https://www.inc.com/profile/jeffs-bagel-run
230,DOXA Talent,1662%,Locked,Locked,Locked,Human Resources,Garden City,ID,https://www.inc.com/profile/doxa-talent
231,Hiring4Less,1660%,Locked,Locked,Locked,Human Resources,Suffern,NY,https://www.inc.com/profile/hiring-4-less
232,HighByte,1656%,Locked,Locked,Locked,Software,Portland,ME,https://www.inc.com/profile/highbyte
234,Isomer Project Group,1639%,Locked,Locked,Locked,Engineering,Greenville,SC,https://www.inc.com/profile/isomer-project-group
235,MISI Community Solutions,1635%,Locked,Locked,Locked,Government Services,Roseville,CA,https://www.inc.com/profile/misi-community-solutions
236,Twola Heads Entertainment Group,1634%,Locked,Locked,Locked,"Media, Arts & Entertainment",Paramount,CA,https://www.inc.com/profile/twola-heads-entertainment-group
238,Numa,1617%,Locked,Locked,Locked,Artificial Intelligence & Data,Layfette,CA,https://www.inc.com/profile/numa
239,Mezcla,1610%,Locked,Locked,Locked,Food & Beverage,New York,NY,https://www.inc.com/profile/mezcla
240,Ox Strong Moving,1602%,Locked,Locked,Locked,Logistics & Transportation,Gainesville,FL,https://www.inc.com/profile/ox-strong-moving
241,Personified,1594%,Locked,Locked,Locked,IT Services,Brewster,NY,https://www.inc.com/profile/personified
242,The Ambitious Exec,1591%,Locked,Locked,Locked,Education,Boulder,CO,https://www.inc.com/profile/the-ambitious-exec
243,Telex,1589%,Locked,Locked,Locked,Engineering,Fayetteville,AR,https://www.inc.com/profile/telex
245,Spring & Bond,1582%,Locked,Locked,Locked,"Advertising, Marketing & PR",Ithaca,NY,https://www.inc.com/profile/spring--bond
246,BRANWYN,1581%,Locked,Locked,Locked,Consumer Products,Bend,OR,https://www.inc.com/profile/branwyn
247,SwineTech,1581%,Locked,Locked,Locked,Software,Cedar Rapids,IA,https://www.inc.com/profile/swinetech
248,Utility Solutions Group,1579%,Locked,Locked,Locked,Construction,Hendersonville,NC,https://www.inc.com/profile/utility-solutions-group
249,Chagrinovations,1557%,Locked,Locked,Locked,Consumer Products,Rocky River,OH,https://www.inc.com/profile/chagrinovations
250,Delegate CX,1554%,Locked,Locked,Locked,Business Products & Services,Dallas,TX,https://www.inc.com/profile/delegate-cx
251,Aditude,1550%,Locked,Locked,Locked,"Advertising, Marketing & PR",Dover,DE,https://www.inc.com/profile/aditude
252,DebtBook,1544%,Locked,Locked,Locked,Software,Charlotte,NC,https://www.inc.com/profile/debtbook
253,Webber Arredondo Oja,1539%,Locked,Locked,Locked,Legal,Plymouth,MN,https://www.inc.com/profile/webber-arredondo-oja
254,H2O Care Partners,1538%,Locked,Locked,Locked,Business Products & Services,Boston,MA,https://www.inc.com/profile/scp-wqs
255,Bluewave Technology Group,1530%,Locked,Locked,Locked,IT Services,San Clemente,CA,https://www.inc.com/profile/bluewave-technology-group
256,7th Level,1522%,Locked,Locked,Locked,Education,Scottsdale,AZ,https://www.inc.com/profile/7th-Level-Communications
257,AdVictory,1517%,Locked,Locked,Locked,"Advertising, Marketing & PR",Grand Rapids,MI,https://www.inc.com/profile/advictory
260,Petite Keep,1502%,Locked,Locked,Locked,Consumer Products,Saint Louis,MO,https://www.inc.com/profile/petite-keep
261,Dr. Pooper Enterprise,1500%,Locked,Locked,Locked,Consumer Products,Hockley,TX,https://www.inc.com/profile/dr-pooper-enterprise
262,Simetrik,1494%,Locked,Locked,Locked,Software,San Francisco,CA,https://www.inc.com/profile/simetrik
263,TaskMagic,1491%,Locked,Locked,Locked,Software,West Hollywood,CA,https://www.inc.com/profile/taskmagic
264,EFX Algo,1481%,Locked,Locked,Locked,Software,Clayton,NC,https://www.inc.com/profile/efx-algo
266,MFort Security Services,1468%,Locked,Locked,Locked,Security,Chicago,IL,https://www.inc.com/profile/mfort-security-services
267,Omega Foundation Services,1467%,Locked,Locked,Locked,Construction,Slaughter,LA,https://www.inc.com/profile/omega-foundation-services
269,Pace Protection,1419%,Locked,Locked,Locked,Security,Boerne,TX,https://www.inc.com/profile/pace-protection
271,Jeenie,1402%,Locked,Locked,Locked,Software,Washington,DC,https://www.inc.com/profile/jeenie
272,Source Code Technologies,1396%,Locked,Locked,Locked,IT Services,Lake Forest,CA,https://www.inc.com/profile/Source-Code-Technologies
274,MaintainX,1370%,Locked,Locked,Locked,Software,San Francisco,CA,https://www.inc.com/profile/maintainx
275,LPG,1361%,Locked,Locked,Locked,Real Estate,Toledo,OH,https://www.inc.com/profile/lpg
276,AMZ Atlas,1359%,Locked,Locked,Locked,Business Products & Services,Birmingham,AL,https://www.inc.com/profile/amz-atlas
277,V Group,1352%,Locked,Locked,Locked,Business Products & Services,Chula Vista,CA,https://www.inc.com/profile/v-group-signs
278,Meade Engineering,1350%,Locked,Locked,Locked,Engineering,Scottsdale,AZ,https://www.inc.com/profile/meade-engineering
279,Native Strategies,1346%,Locked,Locked,Locked,Engineering,Broken Arrow,OK,https://www.inc.com/profile/native-strategies
280,RD1 Spirits,1344%,Locked,Locked,Locked,Food & Beverage,Lexington,KY,https://www.inc.com/profile/rd1-spirits
281,Totem,1342%,Locked,Locked,Locked,Business Products & Services,Washington,DC,https://www.inc.com/profile/totem
282,Seven Sundays,1337%,Locked,Locked,Locked,Food & Beverage,Bloomington,MN,https://www.inc.com/profile/seven-sundays
283,Aligned Dental,1336%,Locked,Locked,Locked,Business Products & Services,Lakewood Ranch,FL,https://www.inc.com/profile/aligned-dental-partners
284,Life Changing Energy,1335%,Locked,Locked,Locked,Education,Brighton,MI,https://www.inc.com/profile/Life-Changing-Energy
286,Eastern Companies,1330%,Locked,Locked,Locked,Construction,Johns Creek,GA,https://www.inc.com/profile/eastern-companies
